event_id,commence_time,home_team,away_team,bookmaker,player_name,market_key,line,over_price,under_price,opponent_team,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge,predicted_value,normalized_player_name,PLAYER_NAME,games_played_prior,min_last_5,min_last_10,season_avg_minutes_prior,prop_type,diff,calibration_bin_robust,calibration_count_robust,tail_flag,line_bucket,role_bucket,edge_bucket,predicted_rebounds,calibration_count,flags,confidence_flag
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,C.J. McCollum,player_points,17.5,-210,155,,18.11478239951996,6.040603354706286,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.6333530455351862,0.3666469544648137,-0.18234699540812904,0.1823469954081291,under,0.1823469954081291,18.11478239951996,cj mccollum,CJ McCollum,66,28.177999999999997,28.717333333333336,29.73368686868687,points,0.6147823995199602,"(0.0, 1.0]",3645,False,15-19.5,24-32m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,BetRivers,Malik Monk,player_points,14.5,-150,110,,12.978211257915556,10.068653225619489,"(-3.0, -1.0]",0.37522648439467515,0.6247735156053249,0.5575221238938053,0.4424778761061947,-0.18229563949913014,0.1822956394991302,under,0.1822956394991302,12.978211257915556,malik monk,Malik Monk,55,23.43,20.865,21.9989696969697,points,-1.5217887420844445,"(-3.0, -1.0]",2168,False,10-14.5,12-24m,0.15-0.20,,,['EXTREME_EDGE'],EXTREME_EDGE
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Cedric Coward,player_points,13.5,-180,135,,12.812642891917337,4.967673276069773,"(-1.0, 0.0]",0.4219254743218632,0.5780745256781368,0.6017069701280228,0.3982930298719772,-0.17978149580615954,0.1797814958061596,under,0.1797814958061596,12.812642891917337,cedric coward,Cedric Coward,53,22.966666666666665,23.31683333333333,26.005283018867924,points,-0.6873571080826633,"(-1.0, 0.0]",3018,False,10-14.5,12-24m,0.15-0.20,,,[],OK
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,G.G. Jackson,player_points,16.5,-180,135,,15.99382921646083,4.0,"(-1.0, 0.0]",0.4219254743218632,0.5780745256781368,0.6017069701280228,0.3982930298719772,-0.17978149580615954,0.1797814958061596,under,0.1797814958061596,15.99382921646083,gg jackson,GG Jackson,47,26.252333333333333,25.455833333333334,20.759397163120568,points,-0.5061707835391704,"(-1.0, 0.0]",3018,False,15-19.5,24-32m,0.15-0.20,,,[],OK
d7a3bd092d17e72cfe007b92fc74dd1f,2026-03-28 23:40:00+00:00,Atlanta Hawks,Sacramento Kings,Bovada,Malik Monk,player_points,14.5,-145,110,,12.978211257915556,10.068653225619489,"(-3.0, -1.0]",0.37522648439467515,0.6247735156053249,0.554140127388535,0.4458598726114649,-0.17891364299385987,0.17891364299385998,under,0.17891364299385998,12.978211257915556,malik monk,Malik Monk,55,23.43,20.865,21.9989696969697,points,-1.5217887420844445,"(-3.0, -1.0]",2168,False,10-14.5,12-24m,0.15-0.20,,,[],OK
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,BetOnline.ag,Leonard Miller,player_rebounds,7.5,-123,-104,,,,"(-3.0, -1.0]",0.3414991051638827,0.6585008948361173,0.519675254742772,0.480324745257228,-0.17817614957888928,0.17817614957888928,under,0.17817614957888928,5.345209109717773,leonard miller,Leonard Miller,34,28.19666666666667,25.214166666666664,11.39,rebounds,-2.154790890282227,"(-10.0, -1.0]",564,False,7-9.5,24-32m,0.15-0.20,5.345209109717773,543.0,[],OK
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,BetMGM,Patrick Williams,player_rebounds,3.5,-165,125,,,,"(-1.0, 0.0]",0.40639180126930147,0.5936081987306985,0.5834970530451867,0.4165029469548134,-0.17710525177588526,0.1771052517758851,under,0.1771052517758851,2.936474389644956,patrick williams,Patrick Williams,60,21.162666666666663,23.61766666666667,19.67077777777778,rebounds,-0.5635256103550441,"(-1.0, 0.0]",4969,False,<4.5,12-24m,0.15-0.20,2.936474389644956,4969.0,[],OK
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Taylor Hendricks,player_points,10.5,-200,150,,10.962980851224126,4.391911757866829,"(0.0, 1.0]",0.4510060501270572,0.5489939498729428,0.625,0.375,-0.1739939498729428,0.1739939498729428,under,0.1739939498729428,10.962980851224126,taylor hendricks,Taylor Hendricks,52,25.72,25.178,18.392596153846153,points,0.4629808512241258,"(0.0, 1.0]",3645,False,10-14.5,24-32m,0.15-0.20,,,[],OK
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,FanDuel,Patrick Williams,player_rebounds,3.5,-160,124,,,,"(-1.0, 0.0]",0.40639180126930147,0.5936081987306985,0.5795601552393274,0.4204398447606727,-0.1731683539700259,0.17316835397002578,under,0.17316835397002578,2.936474389644956,patrick williams,Patrick Williams,60,21.162666666666663,23.61766666666667,19.67077777777778,rebounds,-0.5635256103550441,"(-1.0, 0.0]",4969,False,<4.5,12-24m,0.15-0.20,2.936474389644956,4969.0,[],OK
df362c645ce96c954aeec281f1951a22,2026-03-29 00:10:00+00:00,Memphis Grizzlies,Chicago Bulls,Bovada,Taylor Hendricks,player_rebounds,4.5,-160,120,,,,"(-1.0, 0.0]",0.40639180126930147,0.5936081987306985,0.5751633986928104,0.4248366013071895,-0.16877159742350895,0.168771597423509,under,0.168771597423509,4.240360858488856,taylor hendricks,Taylor Hendricks,52,25.72,25.178,18.392596153846153,rebounds,-0.2596391415111441,"(-1.0, 0.0]",4969,False,4.5-6.5,24-32m,0.15-0.20,4.240360858488856,4969.0,[],OK
