player_name,bookmaker,line,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Kyle Kuzma,DraftKings,12.5,10.390583241695207,8.534895690308362,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5010457625700661,0.4989542374299339,-0.12881329024534283,0.12881329024534288,under,0.12881329024534288
Rudy Gobert,DraftKings,12.5,11.427671648671023,6.948221195225274,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5,0.5,-0.12776752767527677,0.12776752767527677,under,0.12776752767527677
Matas Buzelis,DraftKings,19.5,17.925294490591494,8.459708426811556,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.5,0.5,-0.12776752767527677,0.12776752767527677,under,0.12776752767527677
Jaime Jaquez Jr,FanDuel,10.5,15.018473750402924,6.782329983125272,"(3.0, 5.0]",0.6647646219686163,0.3352353780313837,0.5379072681704261,0.46209273182957394,0.1268573537981902,-0.12685735379819024,over,0.1268573537981902
Jalen Smith,DraftKings,12.5,10.782669599055362,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4979225527671597,0.5020774472328402,-0.12569008044243646,0.12569008044243657,under,0.12569008044243657
Jaden McDaniels,BetOnline.ag,16.5,13.812493451769859,5.8309518948453105,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4969046636401156,0.5030953363598845,-0.12467219131539237,0.12467219131539231,under,0.12467219131539231
Julius Randle,BetOnline.ag,20.5,19.16368168562824,7.860590874030329,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4969046636401156,0.5030953363598845,-0.12467219131539237,0.12467219131539231,under,0.12467219131539231
Josh Minott,FanDuel,13.5,9.853480098320281,8.67691701521277,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.5060689431946916,0.4939310568053083,-0.12425076137650981,0.12425076137650987,under,0.12425076137650987
Jaden McDaniels,DraftKings,16.5,13.812493451769859,5.8309518948453105,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4958445875753168,0.5041554124246831,-0.12361211525059357,0.12361211525059368,under,0.12361211525059368
Kyle Kuzma,FanDuel,12.5,10.390583241695207,8.534895690308362,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4939310568053083,0.5060689431946916,-0.12169858448058507,0.12169858448058513,under,0.12169858448058513
John Konchar,FanDuel,7.5,5.377410512652792,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4939310568053083,0.5060689431946916,-0.12169858448058507,0.12169858448058513,under,0.12169858448058513
Nick Richards,FanDuel,10.5,8.338992268052886,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4939310568053083,0.5060689431946916,-0.12169858448058507,0.12169858448058513,under,0.12169858448058513
Matas Buzelis,FanDuel,19.5,17.925294490591494,8.459708426811556,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4939310568053083,0.5060689431946916,-0.12169858448058507,0.12169858448058513,under,0.12169858448058513
Aaron Gordon,FanDuel,16.5,15.493391537835038,8.369255907453443,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4939310568053083,0.5060689431946916,-0.12169858448058507,0.12169858448058513,under,0.12169858448058513
Ziaire Williams,DraftKings,11.5,10.060764326148306,6.258327785172869,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4937655860349127,0.5062344139650873,-0.12153311371018949,0.12153311371018949,under,0.12153311371018949
Rudy Gobert,BetOnline.ag,12.5,11.427671648671023,6.948221195225274,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.49179655455291227,0.5082034454470877,-0.11956408222818904,0.11956408222818904,under,0.11956408222818904
Cody Williams,FanDuel,17.5,13.323720740150653,8.957306142659933,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.5,0.5,-0.11818181818181817,0.11818181818181817,under,0.11818181818181817
Dylan Harper,FanDuel,15.5,12.075024899789202,6.733003292241386,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.5,0.5,-0.11818181818181817,0.11818181818181817,under,0.11818181818181817
Dylan Harper,BetOnline.ag,15.5,12.075024899789202,6.733003292241386,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.4969046636401156,0.5030953363598845,-0.11508648182193376,0.1150864818219337,under,0.1150864818219337
