player_name,bookmaker,line,predicted_points,P_over_model,P_over_market,edge_over,edge_under,best_side,best_edge
Keldon Johnson,DraftKings,14.5,12.364967285099759,0.3715642117235949,0.47614107883817425,-0.10457686711457936,0.10457686711457936,under,0.10457686711457936
Tim Hardaway Jr,FanDuel,11.5,13.294212606710584,0.585295925488034,0.4808467741935484,0.10444915129448562,-0.10444915129448562,over,0.10444915129448562
Josh Giddey,FanDuel,18.5,16.64960519621183,0.36968088411161026,0.4718423169750604,-0.10216143286345014,0.10216143286345003,under,0.10216143286345003
Jayson Tatum,FanDuel,19.5,20.91436528601297,0.6019578686271316,0.5,0.10195786862713163,-0.10195786862713163,over,0.10195786862713163
Keldon Johnson,FanDuel,13.5,12.364967285099759,0.4308462930404191,0.532258064516129,-0.1014117714757099,0.10141177147571001,under,0.10141177147571001
Derrick White,BetOnline.ag,16.5,18.065803946931638,0.5754881895997972,0.47438944435338465,0.10109874524641255,-0.10109874524641249,over,0.10109874524641255
Isaiah Hartenstein,FanDuel,6.5,7.448525278994485,0.5767445304133855,0.47591522157996147,0.100829308833424,-0.100829308833424,over,0.100829308833424
Olivier-Maxence Prosper,BetOnline.ag,11.5,10.683542964459328,0.4191321059601716,0.519675254742772,-0.1005431487826004,0.1005431487826004,under,0.1005431487826004
Rui Hachimura,FanDuel,8.5,9.573856551260812,0.5932449010148371,0.4939310568053083,0.09931384420952877,-0.09931384420952871,over,0.09931384420952877
Caris LeVert,FanDuel,7.5,8.612483208970694,0.5993131713280015,0.5,0.09931317132800155,-0.09931317132800155,over,0.09931317132800155
Dyson Daniels,DraftKings,11.5,12.853375370641793,0.5819755718694544,0.4833368048323266,0.09863876703712776,-0.09863876703712782,over,0.09863876703712776
Jay Huff,DraftKings,10.5,11.576874261496195,0.5978467009950522,0.5,0.09784670099505222,-0.09784670099505222,over,0.09784670099505222
Dominick Barlow,FanDuel,7.5,8.291323311258138,0.5784112871451806,0.4808467741935484,0.09756451295163227,-0.09756451295163227,over,0.09756451295163227
Aaron Nesmith,FanDuel,12.5,14.489586264963831,0.5763956008498243,0.4808467741935484,0.09554882665627595,-0.09554882665627595,over,0.09554882665627595
Aaron Nesmith,BetOnline.ag,12.5,14.489586264963831,0.5763956008498243,0.48149290561381863,0.0949026952360057,-0.0949026952360057,over,0.0949026952360057
Shai Gilgeous-Alexander,BetOnline.ag,29.5,31.096664586026655,0.5845691350387618,0.48974190636412124,0.0948272286746406,-0.09482722867464055,over,0.0948272286746406
Keldon Johnson,BetOnline.ag,13.5,12.364967285099759,0.4308462930404191,0.5256105556466153,-0.09476426260619619,0.09476426260619625,under,0.09476426260619625
Quentin Grimes,FanDuel,17.5,19.63677639450361,0.5939990001527975,0.5,0.0939990001527975,-0.0939990001527975,over,0.0939990001527975
Cody Williams,FanDuel,17.5,15.372747708638213,0.4061391323961401,0.5,-0.09386086760385992,0.09386086760385992,under,0.09386086760385992
Jayson Tatum,BetOnline.ag,19.5,20.91436528601297,0.6019578686271316,0.5082034454470877,0.0937544231800439,-0.0937544231800439,over,0.0937544231800439
Rui Hachimura,BetOnline.ag,8.5,9.573856551260812,0.5932449010148371,0.5,0.09324490101483707,-0.09324490101483707,over,0.09324490101483707
Olivier-Maxence Prosper,DraftKings,11.5,10.683542964459328,0.4191321059601716,0.511362697297744,-0.09223059133757239,0.09223059133757244,under,0.09223059133757244
Ousmane Dieng,FanDuel,11.5,9.751557190128192,0.3797558471589976,0.4718423169750604,-0.09208646981606283,0.09208646981606272,under,0.09208646981606272
Kyle Anderson,DraftKings,5.5,6.277718128913793,0.5770802161292401,0.48542880932556204,0.09165140680367806,-0.091651406803678,over,0.09165140680367806
Ousmane Dieng,DraftKings,11.5,9.751557190128192,0.3797558471589976,0.4710743801652893,-0.09131853300629172,0.09131853300629167,under,0.09131853300629167
P.J. Washington,FanDuel,14.5,16.101195962972373,0.6007016653135576,0.5101214574898786,0.09058020782367904,-0.09058020782367915,over,0.09058020782367904
Aaron Nesmith,DraftKings,12.5,14.489586264963831,0.5763956008498243,0.487517163899638,0.08887843695018632,-0.08887843695018638,over,0.08887843695018632
Derrick White,DraftKings,16.5,18.065803946931638,0.5754881895997972,0.48863730270225597,0.08685088689754122,-0.08685088689754117,over,0.08685088689754122
Jrue Holiday,FanDuel,15.5,17.74845506786949,0.5921196359417883,0.5060689431946916,0.08605069274709665,-0.08605069274709659,over,0.08605069274709665
Jalen Smith,DraftKings,12.5,11.617605250452417,0.41270246159920576,0.4979225527671597,-0.08522009116795393,0.08522009116795404,under,0.08522009116795404
T.J. McConnell,BetOnline.ag,8.5,8.968210500414603,0.5465908243683332,0.46322988528598974,0.08336093908234343,-0.08336093908234332,over,0.08336093908234343
Kevin Durant,DraftKings,26.5,24.85840716819001,0.39445963154689345,0.4770335727409387,-0.08257394119404526,0.08257394119404526,under,0.08257394119404526
Jayson Tatum,DraftKings,19.5,20.91436528601297,0.6019578686271316,0.5217643644805572,0.08019350414657445,-0.0801935041465745,over,0.08019350414657445
Rui Hachimura,DraftKings,8.5,9.573856551260812,0.5932449010148371,0.5134353038445638,0.07980959717027325,-0.07980959717027314,over,0.07980959717027325
Norman Powell,FanDuel,18.5,20.484284096888707,0.6176418590302397,0.5379072681704261,0.0797345908598136,-0.07973459085981366,over,0.0797345908598136
Onyeka Okongwu,FanDuel,13.5,14.538974019832231,0.5600182031847207,0.4808467741935484,0.07917142899117235,-0.07917142899117235,over,0.07917142899117235
James Harden,FanDuel,21.5,23.428827528611215,0.6111500930935204,0.532258064516129,0.07889202857739142,-0.0788920285773913,over,0.07889202857739142
T.J. McConnell,FanDuel,8.5,8.968210500414603,0.5465908243683332,0.4677419354838709,0.07884888888446229,-0.07884888888446218,over,0.07884888888446229
Quentin Grimes,DraftKings,17.5,19.63677639450361,0.5939990001527975,0.5155112508272668,0.07848774932553071,-0.07848774932553076,over,0.07848774932553071
De'Anthony Melton,DraftKings,15.5,13.567751417025324,0.40778177351491185,0.48542880932556204,-0.07764703581065019,0.07764703581065024,under,0.07764703581065024
Jaylin Williams,DraftKings,5.5,6.1173153331955055,0.5288891628228483,0.4513606919604917,0.07752847086235654,-0.07752847086235648,over,0.07752847086235654
De'Anthony Melton,FanDuel,14.5,13.567751417025324,0.4551984052925654,0.532258064516129,-0.07705965922356361,0.07705965922356373,under,0.07705965922356373
Kevin Durant,BetOnline.ag,26.5,24.85840716819001,0.39445963154689345,0.4693877551020409,-0.07492812355514744,0.07492812355514733,under,0.07492812355514733
Bruce Brown,FanDuel,6.5,7.449531614063504,0.5938201241256341,0.5191532258064516,0.0746668983191825,-0.0746668983191825,over,0.0746668983191825
Nicolas Claxton,DraftKings,9.5,10.844228008334468,0.6122095546176348,0.5379917512690355,0.07421780334859929,-0.07421780334859923,over,0.07421780334859929
Shai Gilgeous-Alexander,DraftKings,29.5,31.096664586026655,0.5845691350387618,0.510397604391948,0.07417153064681381,-0.07417153064681375,over,0.07417153064681381
Cedric Coward,DraftKings,12.5,13.101806164132892,0.5482116981482252,0.47404053829539794,0.0741711598528273,-0.0741711598528273,over,0.0741711598528273
Jaxson Hayes,FanDuel,6.5,5.894579959548159,0.4543193904483134,0.5281576830249397,-0.07383829257662633,0.07383829257662622,under,0.07383829257662622
Jalen Smith,FanDuel,12.5,11.617605250452417,0.41270246159920576,0.48581617766250607,-0.0731137160633003,0.0731137160633003,under,0.0731137160633003
Bilal Coulibaly,FanDuel,14.5,13.711135970052188,0.4596490491291546,0.532258064516129,-0.0726090153869744,0.07260901538697451,under,0.07260901538697451
Ausar Thompson,FanDuel,9.5,10.455109671292593,0.5716194868091692,0.5,0.07161948680916919,-0.07161948680916919,over,0.07161948680916919
Jarace Walker,FanDuel,14.5,14.842916074703256,0.5334705679537843,0.46209273182957394,0.07137783612421039,-0.07137783612421045,over,0.07137783612421039
Naji Marshall,FanDuel,16.5,18.67864304875968,0.5854144635862555,0.5141838223374939,0.07123064124876155,-0.07123064124876155,over,0.07123064124876155
Nikola Jokic,FanDuel,28.5,26.24622529180133,0.3968135786500586,0.4677419354838709,-0.07092835683381227,0.07092835683381238,under,0.07092835683381238
Ryan Rollins,DraftKings,18.5,17.90017429104173,0.44480750543249814,0.5155112508272668,-0.07070374539476865,0.07070374539476859,under,0.07070374539476859
Gary Payton II,FanDuel,10.5,11.438914235855503,0.5927902899583837,0.5240847784200385,0.06870551153834514,-0.06870551153834514,over,0.06870551153834514
Kevin Durant,FanDuel,26.5,24.85840716819001,0.39445963154689345,0.46209273182957394,-0.06763310028268049,0.06763310028268044,under,0.06763310028268044
